y,m,d,Rainfall,Snowfall,Melt,Refreeze,Snowpack,Snowpack_ice,Eact,I,S_SOIL,S_UZ,S_LZ,QGW0,QGW1,QGW2,QGW,Qsim,Qobs
2001,2,20,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.066,0.001,0.009,0.000,0.000,0.001,0.001,0.001,0.01
2001,2,21,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.061,0.000,0.008,0.000,0.000,0.001,0.001,0.001,0.01
2001,2,22,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.01
2001,2,23,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,2,24,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,2,25,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,2,26,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,2,27,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,2,28,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,1,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,2,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,3,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,4,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,5,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
2001,3,6,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.01
